Sugars,Sodium,Label
3,750,1
3,770,1
2,780,1
2,860,1
2,880,1
3,960,1
3,1300,1
4,1410,1
3,1300,1
4,1420,1
2,1080,1
3,1190,1
2,1170,1
3,1280,1
3,1180,1
3,1290,1
3,1180,1
4,1290,1
3,1470,1
15,1250,1
16,1250,1
15,1030,1
15,1320,1
15,1320,1
7,1480,1
8,1480,1
7,1510,1
3,1560,1
3,1680,1
3,1590,1
4,1700,1
17,2150,1
17,2260,1
17,2170,1
18,2290,1
14,590,1
14,930,1
2,790,1
32,370,0
32,160,0
9,960,1
10,1100,1
12,1440,1
10,1180,1
9,960,1
10,1280,1
7,680,1
7,1040,1
14,1470,1
7,840,1
7,1110,1
7,760,1
6,1030,1
11,980,1
10,990,1
8,820,1
11,1410,1
9,1250,1
11,1400,1
9,1230,1
16,1720,1
14,1560,1
7,910,1
5,800,1
6,1260,1
6,1260,1
5,990,1
7,1540,1
6,1370,1
8,1340,1
6,1170,1
12,1480,1
10,1320,1
14,1260,1
12,1090,1
0,540,1
0,900,1
0,1800,1
1,3600,1
5,590,1
5,860,1
4,690,1
12,850,1
10,680,1
8,780,1
7,700,1
3,730,1
2,650,1
3,810,1
2,720,1
23,70,0
48,170,0
43,150,0
45,85,0
39,0,0
55,5,0
76,5,0
28,0,0
35,45,0
51,65,0
70,90,0
26,30,0
37,30,0
54,45,0
74,60,0
27,25,0
22,135,0
30,0,0
39,0,0
58,5,0
36,10,0
45,10,0
54,10,0
27,5,0
38,115,0
48,140,0
59,180,0
38,115,0
47,140,0
58,180,0
36,115,0
45,140,0
56,190,0
21,180,0
39,110,0
48,135,0
59,180,0
38,110,0
48,135,0
59,180,0
37,115,0
46,140,0
56,180,0
21,240,0
42,150,0
53,190,0
63,240,0
43,150,0
53,190,0
64,240,0
40,170,0
50,220,0
60,270,0
41,170,0
51,210,0
61,270,0
45,180,0
56,220,0
68,280,0
46,180,0
57,220,0
69,280,0
22,35,0
30,50,0
45,75,0
21,35,0
28,50,0
42,65,0
28,50,0
41,75,0
26,55,0
39,80,0
34,125,0
43,150,0
62,220,0
35,125,0
43,150,0
62,220,0
33,140,0
41,170,0
59,250,0
33,140,0
41,170,0
59,250,0
57,125,0
71,160,0
88,190,0
57,125,0
71,160,0
88,190,0
67,135,0
81,160,0
99,200,0
44,40,0
54,50,0
70,65,0
44,50,0
54,60,0
70,80,0
46,40,0
56,45,0
72,60,0
63,160,0
81,200,0
101,260,0
79,160,0
100,210,0
123,260,0
77,240,0
97,300,0
120,380,0
93,210,0
115,260,0
89,180,0
128,260,0
59,120,0
64,280,0
85,380,0
43,190,0
103,400,0
51,200,0
80,1500,0
70,1100,0
60,700,1
